,Year,County,Hospital,Surgery,Latitude,Longitude,Total_cases,Cost,renta_per_capita,Poblacion
0,2013,Sacramento,Statewide,Colon,34.037185,-118.266206,7128,52,21142,1223499.0
1,2013,Sacramento,Statewide,Bladder,34.037185,-118.266206,892,65,21142,1223499.0
2,2013,Sacramento,Statewide,Rectum,34.037185,-118.266206,2128,52,21142,1223499.0
3,2013,Sacramento,Statewide,Breast,34.037185,-118.266206,25829,30,21142,1223499.0
4,2013,Sacramento,Statewide,Brain,34.037185,-118.266206,2719,100,21142,1223499.0
5,2013,Sacramento,Statewide,Pancreas,34.037185,-118.266206,819,74,21142,1223499.0
6,2013,Sacramento,Statewide,Lung,34.037185,-118.266206,3145,56,21142,1223499.0
7,2013,Sacramento,Statewide,Liver,34.037185,-118.266206,1159,100,21142,1223499.0
8,2013,Sacramento,Statewide,Esophagus,34.037185,-118.266206,337,250,21142,1223499.0
9,2013,Sacramento,Statewide,Stomach,34.037185,-118.266206,1010,72,21142,1223499.0
10,2013,Sacramento,Statewide,Prostate,34.037185,-118.266206,6145,153,21142,1223499.0
11,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Stomach,38.60197,-121.39232,7,72,21142,1223499.0
12,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Rectum,38.60197,-121.39232,8,52,21142,1223499.0
13,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Prostate,38.60197,-121.39232,3,153,21142,1223499.0
14,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Pancreas,38.60197,-121.39232,15,74,21142,1223499.0
15,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Lung,38.60197,-121.39232,17,56,21142,1223499.0
16,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Liver,38.60197,-121.39232,9,100,21142,1223499.0
17,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Esophagus,38.60197,-121.39232,2,250,21142,1223499.0
18,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Colon,38.60197,-121.39232,44,52,21142,1223499.0
19,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Breast,38.60197,-121.39232,209,30,21142,1223499.0
20,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Brain,38.60197,-121.39232,86,100,21142,1223499.0
21,2013,Sacramento,Kaiser Foundation Hospital  Sacramento,Bladder,38.60197,-121.39232,1,65,21142,1223499.0
22,2013,Sacramento,Mercy General Hospital,Stomach,38.56955,-121.45271,4,72,21142,1223499.0
23,2013,Sacramento,Mercy General Hospital,Rectum,38.56955,-121.45271,20,52,21142,1223499.0
24,2013,Sacramento,Mercy General Hospital,Prostate,38.56955,-121.45271,23,153,21142,1223499.0
25,2013,Sacramento,Mercy General Hospital,Pancreas,38.56955,-121.45271,1,74,21142,1223499.0
26,2013,Sacramento,Mercy General Hospital,Colon,38.56955,-121.45271,40,52,21142,1223499.0
27,2013,Sacramento,Mercy General Hospital,Breast,38.56955,-121.45271,168,30,21142,1223499.0
28,2013,Sacramento,Mercy General Hospital,Brain,38.56955,-121.45271,9,100,21142,1223499.0
29,2013,Sacramento,Mercy General Hospital,Bladder,38.56955,-121.45271,3,65,21142,1223499.0
30,2013,Sacramento,Mercy San Juan Hospital,Lung,38.66818,-121.31261,54,56,21142,1223499.0
31,2013,Sacramento,Mercy San Juan Hospital,Stomach,38.66818,-121.31261,3,72,21142,1223499.0
32,2013,Sacramento,Mercy San Juan Hospital,Rectum,38.66818,-121.31261,11,52,21142,1223499.0
33,2013,Sacramento,Mercy San Juan Hospital,Prostate,38.66818,-121.31261,72,153,21142,1223499.0
34,2013,Sacramento,Mercy San Juan Hospital,Liver,38.66818,-121.31261,1,100,21142,1223499.0
35,2013,Sacramento,Mercy San Juan Hospital,Esophagus,38.66818,-121.31261,3,250,21142,1223499.0
36,2013,Sacramento,Mercy San Juan Hospital,Colon,38.66818,-121.31261,38,52,21142,1223499.0
37,2013,Sacramento,Mercy San Juan Hospital,Breast,38.66818,-121.31261,99,30,21142,1223499.0
38,2013,Sacramento,Mercy San Juan Hospital,Brain,38.66818,-121.31261,18,100,21142,1223499.0
39,2013,Sacramento,Mercy San Juan Hospital,Bladder,38.66818,-121.31261,2,65,21142,1223499.0
40,2013,Sacramento,Methodist Hospital of Sacramento,Rectum,38.46416,-121.41744,4,52,21142,1223499.0
41,2013,Sacramento,Methodist Hospital of Sacramento,Pancreas,38.46416,-121.41744,2,74,21142,1223499.0
42,2013,Sacramento,Methodist Hospital of Sacramento,Colon,38.46416,-121.41744,19,52,21142,1223499.0
43,2013,Sacramento,Methodist Hospital of Sacramento,Breast,38.46416,-121.41744,151,30,21142,1223499.0
44,2013,Sacramento,Methodist Hospital of Sacramento,Stomach,38.46416,-121.41744,3,72,21142,1223499.0
45,2013,Sacramento,UC Davis Medical Center,Stomach,38.55438,-121.45738,6,72,21142,1223499.0
46,2013,Sacramento,UC Davis Medical Center,Rectum,38.55438,-121.45738,16,52,21142,1223499.0
47,2013,Sacramento,UC Davis Medical Center,Prostate,38.55438,-121.45738,85,153,21142,1223499.0
48,2013,Sacramento,UC Davis Medical Center,Pancreas,38.55438,-121.45738,20,74,21142,1223499.0
49,2013,Sacramento,UC Davis Medical Center,Lung,38.55438,-121.45738,63,56,21142,1223499.0
50,2013,Sacramento,UC Davis Medical Center,Esophagus,38.55438,-121.45738,12,250,21142,1223499.0
51,2013,Sacramento,UC Davis Medical Center,Colon,38.55438,-121.45738,27,52,21142,1223499.0
52,2013,Sacramento,UC Davis Medical Center,Breast,38.55438,-121.45738,222,30,21142,1223499.0
53,2013,Sacramento,UC Davis Medical Center,Brain,38.55438,-121.45738,37,100,21142,1223499.0
54,2013,Sacramento,UC Davis Medical Center,Bladder,38.55438,-121.45738,27,65,21142,1223499.0
55,2013,Sacramento,UC Davis Medical Center,Liver,38.55438,-121.45738,16,100,21142,1223499.0
56,2013,Sacramento,Sutter General Hospital,Stomach,38.57176,-121.47008,11,72,21142,1223499.0
57,2013,Sacramento,Sutter General Hospital,Rectum,38.57176,-121.47008,11,52,21142,1223499.0
58,2013,Sacramento,Sutter General Hospital,Prostate,38.57176,-121.47008,81,153,21142,1223499.0
59,2013,Sacramento,Sutter General Hospital,Pancreas,38.57176,-121.47008,13,74,21142,1223499.0
60,2013,Sacramento,Sutter General Hospital,Lung,38.57176,-121.47008,24,56,21142,1223499.0
61,2013,Sacramento,Sutter General Hospital,Liver,38.57176,-121.47008,9,100,21142,1223499.0
62,2013,Sacramento,Sutter General Hospital,Esophagus,38.57176,-121.47008,5,250,21142,1223499.0
63,2013,Sacramento,Sutter General Hospital,Colon,38.57176,-121.47008,60,52,21142,1223499.0
64,2013,Sacramento,Sutter General Hospital,Breast,38.57176,-121.47008,335,30,21142,1223499.0
65,2013,Sacramento,Sutter General Hospital,Brain,38.57176,-121.47008,30,100,21142,1223499.0
66,2013,Sacramento,Sutter Memorial Hospital,Lung,38.57071,-121.43948,5,56,21142,1223499.0
67,2013,Sacramento,Sutter Memorial Hospital,Colon,38.57071,-121.43948,3,52,21142,1223499.0
68,2013,Sacramento,Sutter Memorial Hospital,Breast,38.57071,-121.43948,5,30,21142,1223499.0
69,2013,Sacramento,Sutter Memorial Hospital,Brain,38.57071,-121.43948,13,100,21142,1223499.0
70,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Stomach,38.47144,-121.42409,6,72,21142,1223499.0
71,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Rectum,38.47144,-121.42409,18,52,21142,1223499.0
72,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Prostate,38.47144,-121.42409,226,153,21142,1223499.0
73,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Pancreas,38.47144,-121.42409,2,74,21142,1223499.0
74,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Lung,38.47144,-121.42409,22,56,21142,1223499.0
75,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Liver,38.47144,-121.42409,9,100,21142,1223499.0
76,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Esophagus,38.47144,-121.42409,1,250,21142,1223499.0
77,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Colon,38.47144,-121.42409,50,52,21142,1223499.0
78,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Breast,38.47144,-121.42409,242,30,21142,1223499.0
79,2013,Sacramento,Kaiser Foundation Hospital  South Sacramento,Bladder,38.47144,-121.42409,21,65,21142,1223499.0
80,2013,Sacramento,Mercy Hospital  Folsom,Rectum,38.67223,-121.1428,2,52,21142,1223499.0
81,2013,Sacramento,Mercy Hospital  Folsom,Prostate,38.67223,-121.1428,33,153,21142,1223499.0
82,2013,Sacramento,Mercy Hospital  Folsom,Colon,38.67223,-121.1428,14,52,21142,1223499.0
83,2013,Sacramento,Mercy Hospital  Folsom,Breast,38.67223,-121.1428,24,30,21142,1223499.0
84,2013,Sacramento,Mercy Hospital  Folsom,Bladder,38.67223,-121.1428,2,65,21142,1223499.0
85,2014,Sacramento,Statewide,Rectum,34.037185,-118.266206,2239,52,21142,1223499.0
86,2014,Sacramento,Statewide,Lung,34.037185,-118.266206,3269,56,21142,1223499.0
87,2014,Sacramento,Statewide,Colon,34.037185,-118.266206,7335,52,21142,1223499.0
88,2014,Sacramento,Statewide,Pancreas,34.037185,-118.266206,877,74,21142,1223499.0
89,2014,Sacramento,Statewide,Prostate,34.037185,-118.266206,5434,153,21142,1223499.0
90,2014,Sacramento,Statewide,Stomach,34.037185,-118.266206,1030,72,21142,1223499.0
91,2014,Sacramento,Statewide,Breast,34.037185,-118.266206,25290,30,21142,1223499.0
92,2014,Sacramento,Statewide,Brain,34.037185,-118.266206,2858,100,21142,1223499.0
93,2014,Sacramento,Statewide,Bladder,34.037185,-118.266206,897,65,21142,1223499.0
94,2014,Sacramento,Statewide,Esophagus,34.037185,-118.266206,354,250,21142,1223499.0
95,2014,Sacramento,Statewide,Liver,34.037185,-118.266206,1298,100,21142,1223499.0
96,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Stomach,38.60197,-121.39232,7,72,21142,1223499.0
97,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Rectum,38.60197,-121.39232,8,52,21142,1223499.0
98,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Pancreas,38.60197,-121.39232,5,74,21142,1223499.0
99,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Lung,38.60197,-121.39232,20,56,21142,1223499.0
100,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Liver,38.60197,-121.39232,10,100,21142,1223499.0
101,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Colon,38.60197,-121.39232,51,52,21142,1223499.0
102,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Breast,38.60197,-121.39232,180,30,21142,1223499.0
103,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Brain,38.60197,-121.39232,67,100,21142,1223499.0
104,2014,Sacramento,Kaiser Foundation Hospital  Sacramento,Bladder,38.60197,-121.39232,6,65,21142,1223499.0
105,2014,Sacramento,Mercy General Hospital,Stomach,38.56955,-121.45271,5,72,21142,1223499.0
106,2014,Sacramento,Mercy General Hospital,Rectum,38.56955,-121.45271,15,52,21142,1223499.0
